ext_id,price,processed_ontology,size,special_price
14681,1440,accessories,,1008
12505,1090,organisation__storage,,545
11850,1690,flats,41,1183
12557,1590,flats,"38,39",1113
15222,990,table_linen,,
12127,3440,serveware,,2580
4211,1530,cushions,,
13208,2790,skirt,S,1674
13587,2340,dresses,XL,1170
14555,2390,dresses,"L,XL,XS",1673
14386,2340,skirt,M,1404
13113,2240,dresses,M,1120
13172,1690,tops,XXL,
14782,1590,tops,L,
15157,2430,shoes,"37,38,39,40,41",1944
12705,1340,new,S,
13869,2240,tops,One Size,
13160,1890,tops,"XS,L,XL",576
12174,1840,shorts,XL,920
14660,2640,pants,XS,
12030,2190,pants,XL,690
12938,1990,tops,XL,995
14337,1790,accessories,,
14194,1840,tops,XXL,
14056,2390,dresses,XXL,1195
13949,3740,skirt,S,1870
13374,1690,tops,XS,845
14449,1890,dresses,L,1134
12601,1940,dresses,XS,
13935,1890,tops,XXL,945
15026,740,accessories,,
13178,1540,shorts,XS,924
13639,2490,table_linen,,
14153,2890,home_decor,,
15091,1490,serveware,,
13642,2640,dresses,L,1320
12288,1640,new,38,1148
13394,1640,drinkware,,
11838,2790,brogues,36,1674
14978,1940,tops,XL,1358
12692,1340,tops,XS,536
13071,2290,flats,39,1603
4199,5730,organisation__storage,,
14764,1940,skirt,XL,1164
13277,1590,tops,XXL,795
14889,2990,heels,39,1495
13698,2990,skirt,S,1495
14965,1290,accessories,,774
16179,2390,nightwear,"M,XS",
12274,1640,tops,XL,
13318,1890,shoes,37,1323
11662,1740,belts,,
13057,2800,heels,"37,41",1400
12585,2890,heels,37,1445
16005,2590,,,1295
14966,890,accessories,,623
12891,1960,flats,37,1372
14728,2440,dresses,S,1708
14011,1990,pants,XXL,995
12812,1840,dresses,XXL,1288
13184,1540,shorts,L,616
14495,1890,tops,XL,945
15812,2630,dresses,"XS,S,M,L,XL,XXL",
9187,2060,home_decor,,
10587,2050,home_decor,,
11661,1740,belts,,
8496,2640,home_decor,,
11438,2060,home_decor,,
14720,4290,serveware,,3003
15145,2540,flats,,
15997,1390,accessories,,973
16871,2290,flats,"36,37,38,39,40,41",
13214,1790,tops,XL,895
12687,1290,tops,M,516
14572,1890,,XL,945
